ID;3%;6%;10%;15%;20%
0;1576.76;1576.76;1575.46;1572.85;1570.25
1;1587.30;1572.85;1575.46;1571.55;1571.55
2;1578.07;1576.76;1574.15;1572.85;1570.25
3;1578.07;1588.63;1574.15;1572.85;1567.66
4;1578.07;1575.46;1575.46;1572.85;1570.25
5;1578.07;1588.63;1575.46;1570.25;1571.55
6;1576.76;1587.30;1574.15;1572.85;1568.95
7;1578.07;1587.30;1572.85;1572.85;1571.55
8;1575.46;1574.15;1572.85;1572.85;1571.55
9;1589.96;1575.46;1574.15;1574.15;1568.95
10;1576.76;1576.76;1575.46;1572.85;1570.25
11;1587.30;1572.85;1575.46;1571.55;1571.55
12;1578.07;1576.76;1574.15;1572.85;1570.25
13;1578.07;1588.63;1574.15;1572.85;1567.66
14;1578.07;1575.46;1575.46;1572.85;1570.25
15;1578.07;1588.63;1575.46;1570.25;1571.55
16;1576.76;1587.30;1574.15;1572.85;1568.95
17;1578.07;1587.30;1572.85;1572.85;1571.55
18;1575.46;1574.15;1572.85;1572.85;1571.55
19;1589.96;1575.46;1574.15;1574.15;1568.95
20;1576.76;1576.76;1575.46;1572.85;1570.25
21;1587.30;1572.85;1575.46;1571.55;1571.55
22;1578.07;1576.76;1574.15;1572.85;1570.25
23;1578.07;1563.79;1574.15;1572.85;1567.66
24;1578.07;1575.46;1575.46;1572.85;1570.25
25;1578.07;1563.79;1575.46;1570.25;1571.55
26;1576.76;1587.30;1574.15;1572.85;1568.95
27;1578.07;1587.30;1572.85;1572.85;1571.55
28;1575.46;1574.15;1572.85;1572.85;1571.55
29;1589.96;1575.46;1574.15;1574.15;1568.95
30;1576.76;1576.76;1575.46;1572.85;1570.25
31;1587.30;1572.85;1575.46;1571.55;1571.55
32;1578.07;1576.76;1575.46;1572.85;1570.25
33;1578.07;1574.15;1574.15;1572.85;1567.66
34;1578.07;1575.46;1575.46;1572.85;1570.25
35;1578.07;1574.15;1575.46;1570.25;1571.55
36;1576.76;1587.30;1574.15;1572.85;1568.95
37;1578.07;1587.30;1572.85;1572.85;1571.55
38;1575.46;1574.15;1572.85;1572.85;1571.55
39;1589.96;1575.46;1574.15;1574.15;1568.95
40;1576.76;1576.76;1575.46;1572.85;1570.25
41;1587.30;1572.85;1575.46;1571.55;1571.55
42;1578.07;1576.76;1574.15;1572.85;1570.25
43;1578.07;1588.63;1574.15;1572.85;1567.66
44;1578.07;1575.46;1575.46;1572.85;1570.25
45;1578.07;1588.63;1575.46;1570.25;1571.55
46;1576.76;1587.30;1574.15;1572.85;1568.95
47;1578.07;1587.30;1572.85;1572.85;1571.55
48;1575.46;1574.15;1572.85;1572.85;1571.55
49;1589.96;1575.46;1574.15;1574.15;1568.95
50;1566.36;1563.79;1562.50;1562.50;1562.50
51;1568.95;1563.79;1565.07;1562.50;1561.22
52;1567.66;1565.07;1562.50;1559.93;1559.93
53;1568.95;1565.07;1563.79;1558.65;1559.93
54;1567.66;1562.50;1563.79;1562.50;1559.93
55;1568.95;1563.79;1575.46;1562.50;1561.22
56;1568.95;1575.46;1575.46;1572.85;1562.50
57;1568.95;1567.66;1563.79;1562.50;1562.50
58;1567.66;1567.66;1563.79;1561.22;1562.50
59;1565.07;1575.46;1565.07;1562.50;1562.50
60;1567.66;1563.79;1563.79;1562.50;1561.22
61;1566.36;1565.07;1565.07;1562.50;1562.50
62;1567.66;1575.46;1563.79;1572.85;1562.50
63;1571.55;1570.25;1570.25;1567.66;1566.36
64;1571.55;1570.25;1570.25;1567.66;1566.36
65;1571.55;1570.25;1570.25;1568.95;1566.36
66;1572.85;1570.25;1570.25;1568.95;1567.66
67;1571.55;1571.55;1570.25;1566.36;1567.66
68;1571.55;1570.25;1570.25;1567.66;1567.66
69;1571.55;1570.25;1570.25;1567.66;1567.66
70;1571.55;1570.25;1570.25;1568.95;1566.36
71;1572.85;1570.25;1570.25;1568.95;1567.66
72;1571.55;1563.79;1570.25;1566.36;1567.66
73;1571.55;1563.79;1570.25;1567.66;1566.36
74;1571.55;1563.79;1570.25;1567.66;1566.36
75;1571.55;1570.25;1570.25;1568.95;1566.36
76;1572.85;1570.25;1570.25;1568.95;1567.66
77;1571.55;1571.55;1570.25;1566.36;1567.66
78;1571.55;1570.25;1570.25;1567.66;1566.36
79;1571.55;1570.25;1570.25;1567.66;1566.36
80;1571.55;1570.25;1570.25;1568.95;1566.36
81;1572.85;1570.25;1570.25;1568.95;1567.66
82;1571.55;1570.25;1570.25;1566.36;1567.66
83;1571.55;1570.25;1570.25;1567.66;1566.36
84;1571.55;1570.25;1570.25;1567.66;1566.36
85;1571.55;1563.79;1570.25;1568.95;1566.36
86;1572.85;1563.79;1570.25;1568.95;1567.66
87;1571.55;1563.79;1570.25;1566.36;1567.66
88;1576.76;1576.76;1575.46;1572.85;1570.25
89;1587.30;1572.85;1575.46;1571.55;1571.55
90;1578.07;1576.76;1574.15;1572.85;1570.25
91;1578.07;1588.63;1574.15;1572.85;1567.66
92;1578.07;1575.46;1575.46;1572.85;1570.25
93;1578.07;1588.63;1575.46;1570.25;1571.55
94;1576.76;1587.30;1574.15;1572.85;1568.95
95;1578.07;1587.30;1572.85;1572.85;1571.55
96;1575.46;1574.15;1572.85;1572.85;1571.55
97;1589.96;1575.46;1574.15;1574.15;1568.95
98;1576.76;1576.76;1575.46;1572.85;1570.25
99;1587.30;1572.85;1575.46;1571.55;1571.55
100;1578.07;1576.76;1574.15;1572.85;1570.25
101;1578.07;1588.63;1574.15;1572.85;1567.66
102;1578.07;1575.46;1575.46;1572.85;1570.25
103;1578.07;1588.63;1575.46;1570.25;1571.55
104;1576.76;1587.30;1574.15;1572.85;1568.95
105;1578.07;1587.30;1572.85;1572.85;1571.55
106;1575.46;1574.15;1572.85;1572.85;1571.55
107;1589.96;1575.46;1574.15;1574.15;1568.95
108;1576.76;1576.76;1575.46;1572.85;1570.25
109;1587.30;1572.85;1575.46;1571.55;1571.55
110;1578.07;1576.76;1574.15;1572.85;1570.25
111;1578.07;1563.79;1574.15;1572.85;1567.66
112;1578.07;1575.46;1575.46;1572.85;1570.25
113;1578.07;1563.79;1575.46;1570.25;1571.55
114;1576.76;1587.30;1574.15;1572.85;1568.95
115;1578.07;1587.30;1572.85;1572.85;1571.55
116;1575.46;1574.15;1572.85;1572.85;1571.55
117;1589.96;1575.46;1574.15;1574.15;1568.95
118;1576.76;1576.76;1575.46;1572.85;1570.25
119;1587.30;1572.85;1575.46;1571.55;1571.55
120;1578.07;1576.76;1575.46;1572.85;1570.25
121;1578.07;1574.15;1574.15;1572.85;1567.66
122;1578.07;1575.46;1575.46;1572.85;1570.25
123;1578.07;1574.15;1575.46;1570.25;1571.55
124;1576.76;1587.30;1574.15;1572.85;1568.95
125;1578.07;1587.30;1572.85;1572.85;1571.55
126;1575.46;1574.15;1572.85;1572.85;1571.55
127;1589.96;1575.46;1574.15;1574.15;1568.95
128;1576.76;1576.76;1575.46;1572.85;1570.25
129;1587.30;1572.85;1575.46;1571.55;1571.55
130;1578.07;1576.76;1574.15;1572.85;1570.25
131;1578.07;1588.63;1572.85;1572.85;1567.66
132;1578.07;1575.46;1575.46;1572.85;1570.25
133;1578.07;1588.63;1575.46;1570.25;1571.55
134;1576.76;1587.30;1574.15;1572.85;1568.95
135;1578.07;1587.30;1572.85;1572.85;1571.55
136;1575.46;1574.15;1572.85;1572.85;1571.55
137;1589.96;1575.46;1574.15;1574.15;1568.95
138;1566.36;1563.79;1562.50;1562.50;1562.50
139;1587.30;1574.15;1574.15;1572.85;1568.95
